Boat_name,boat_type,departure_date,arrival_date,,,,,
boatA1,Karachi Fishiry,2022-01-01,2022-01-15,,,date,typeName,Count
boatB1,Pasni,2022-01-01,2022-01-15,,,2022-01-01,Karachi Fishiry,5
boatC1,Gwadar,2022-01-01,2022-01-15,,,,Pasni,
boatA2,Karachi Fishiry,2022-01-01,2022-01-15,,,,Gwadar,
boatA3,Karachi Fishiry,2022-01-01,2022-01-15,,,,KoFH,
boatA4,Karachi Fishiry,2022-01-01,2022-01-15,,,,,
boatA5,Karachi Fishiry,2022-01-01,2022-01-15,,,,,
boatD1,KoFH,2022-01-01,2022-01-15,,,,,
boatD2,KoFH,2022-01-01,2022-01-15,,,,,
boatD3,KoFH,2022-01-01,2022-01-15,,,,,
boatD4,KoFH,2022-01-01,2022-01-15,,,,,
boatD5,KoFH,2022-01-01,2022-01-15,,,,,
boatD6,KoFH,2022-01-01,2022-01-15,,,,,
boatD7,KoFH,2022-01-01,2022-01-15,,,,,
boatD8,KoFH,2022-01-01,2022-01-15,,,,,
boatD9,KoFH,2022-01-01,2022-01-15,,,,,
boatD10,KoFH,2022-01-01,2022-01-15,,,,,
boatB2,Pasni,2022-01-01,2022-01-15,,,,,
boatB3,Pasni,2022-01-01,2022-01-15,,,,,
boatB4,Pasni,2022-01-01,2022-01-15,,,,,
boatB5,Pasni,2022-01-01,2022-01-15,,,,,
boatB6,Pasni,2022-01-01,2022-01-16,,,,,
boatB7,Pasni,2022-01-01,2022-01-16,,,,,
boatC2,Gwadar,2022-01-01,2022-01-16,,,,,
boatC3,Gwadar,2022-01-01,2022-01-16,,,,,
boatC4,Gwadar,2022-01-01,2022-01-16,,,,,
boatC5,Gwadar,2022-01-01,2022-01-16,,,,,
boatC6,Gwadar,2022-01-01,2022-01-16,,,,,
boatC7,Gwadar,2022-01-01,2022-01-16,,,,,
boatC7,Gwadar,2022-01-02,2022-01-16,,,,,
boatC5,Gwadar,2022-01-02,2022-01-16,,,,,
boatC3,Gwadar,2022-01-02,2022-01-16,,,,,
boatC4,Gwadar,2022-01-02,2022-01-16,,,,,
boatA1,Karachi Fishiry,2022-01-02,2022-01-16,,,,,
boatA2,Karachi Fishiry,2022-01-02,2022-01-16,,,,,
boatA3,Karachi Fishiry,2022-01-02,2022-01-16,,,,,
boatA4,Karachi Fishiry,2022-01-02,2022-01-16,,,,,
boatA5,Karachi Fishiry,2022-01-02,2022-01-16,,,,,
boatA6,Karachi Fishiry,2022-01-02,2022-01-16,,,,,
boatA7,Karachi Fishiry,2022-01-02,2022-01-16,,,,,
boatA8,Karachi Fishiry,2022-01-02,2022-01-16,,,,,
boatA9,Karachi Fishiry,2022-01-02,2022-01-16,,,,,
boatA10,Karachi Fishiry,2022-01-02,2022-01-16,,,,,
boatA11,Karachi Fishiry,2022-01-02,2022-01-16,,,,,
boatA12,Karachi Fishiry,2022-01-02,2022-01-16,,,,,
boatA13,Karachi Fishiry,2022-01-02,2022-01-16,,,,,
boatA14,Karachi Fishiry,2022-01-02,2022-01-16,,,,,
boatD6,KoFH,2022-01-02,2022-01-17,,,,,
boatD7,KoFH,2022-01-02,2022-01-17,,,,,
boatD8,KoFH,2022-01-02,2022-01-17,,,,,
boatD9,KoFH,2022-01-02,2022-01-17,,,,,
boatC5,Gwadar,2022-01-02,2022-01-17,,,,,
boatC5,Gwadar,2022-01-03,2022-01-17,,,,,
boatC6,Gwadar,2022-01-03,2022-01-17,,,,,
boatC7,Gwadar,2022-01-03,2022-01-17,,,,,
boatC8,Gwadar,2022-01-03,2022-01-17,,,,,
boatC9,Gwadar,2022-01-03,2022-01-17,,,,,
boatC10,Gwadar,2022-01-03,2022-01-17,,,,,
boatC11,Gwadar,2022-01-03,2022-01-17,,,,,
boatC12,Gwadar,2022-01-03,2022-01-17,,,,,
boatC13,Gwadar,2022-01-03,2022-01-17,,,,,
boatA14,Karachi Fishiry,2022-01-03,2022-01-17,,,,,
boatA15,Karachi Fishiry,2022-01-03,2022-01-17,,,,,
boatA16,Karachi Fishiry,2022-01-03,2022-01-17,,,,,
boatA17,Karachi Fishiry,2022-01-03,2022-01-17,,,,,
boatA18,Karachi Fishiry,2022-01-03,2022-01-17,,,,,
boatA19,Karachi Fishiry,2022-01-03,2022-01-17,,,,,
boatB8,Pasni,2022-01-03,2022-01-17,,,,,
boatB9,Pasni,2022-01-03,2022-01-17,,,,,
boatB10,Pasni,2022-01-03,2022-01-17,,,,,
boatB11,Pasni,2022-01-03,2022-01-17,,,,,
boatB12,Pasni,2022-01-03,2022-01-17,,,,,
boatB13,Pasni,2022-01-03,2022-01-17,,,,,
boatB14,Pasni,2022-01-03,2022-01-17,,,,,
boatB15,Pasni,2022-01-03,2022-01-17,,,,,
boatB16,Pasni,2022-01-03,2022-01-17,,,,,
boatB17,Pasni,2022-01-03,2022-01-17,,,,,
boatB18,Pasni,2022-01-03,2022-01-17,,,,,
boatB19,Pasni,2022-01-03,2022-01-17,,,,,
boatB20,Pasni,2022-01-03,2022-01-17,,,,,
boatB21,Pasni,2022-01-03,2022-01-17,,,,,
boatB22,Pasni,2022-01-03,2022-01-17,,,,,
boatB23,Pasni,2022-01-03,2022-01-17,,,,,
boatB24,Pasni,2022-01-03,2022-01-17,,,,,
boatB25,Pasni,2022-01-03,2022-01-17,,,,,
boatD10,KoFH,2022-01-03,2022-01-17,,,,,
boatD11,KoFH,2022-01-03,2022-01-17,,,,,
boatD12,KoFH,2022-01-03,2022-01-17,,,,,
boatD13,KoFH,2022-01-03,2022-01-17,,,,,
boatA1,Karachi Fishiry,2022-01-15,2022-01-17,,,,,
boatB1,Pasni,2022-01-15,2022-01-17,,,,,
boatC1,Gwadar,2022-01-15,2022-01-17,,,,,
boatD1,KoFH,2022-01-15,2022-01-17,,,,,
boatA,Karachi Fishiry,2022-01-16,2022-01-17,,,,,
boatA,Karachi Fishiry,2022-01-16,2022-01-17,,,,,
boatA,Karachi Fishiry,2022-01-16,2022-01-17,,,,,
boatA,Karachi Fishiry,2022-01-16,2022-01-17,,,,,
boatA,Karachi Fishiry,2022-01-16,2022-01-17,,,,,
boatA,Karachi Fishiry,2022-01-16,2022-01-20,,,,,
boatA,Karachi Fishiry,2022-01-16,2022-01-20,,,,,
boatA,Karachi Fishiry,2022-01-16,2022-01-20,,,,,
boatA,Karachi Fishiry,2022-01-16,2022-01-20,,,,,
boatA,Karachi Fishiry,2022-01-16,2022-01-20,,,,,
boatD,KoFH,2022-01-16,2022-01-20,,,,,
boatD,KoFH,2022-01-16,2022-01-20,,,,,
boatD,KoFH,2022-01-16,2022-01-20,,,,,
boatD,KoFH,2022-01-16,2022-01-20,,,,,
boatD,KoFH,2022-01-16,2022-01-20,,,,,
